Date,Open,High,Low,Close,Volume
12/28/2018,"3,675","3,725","3,663","3,688","97,081,602"
12/27/2018,"3,663","3,675","3,625","3,638","48,514,398"
12/26/2018,"3,575","3,625","3,550","3,613","52,356,800"
12/21/2018,"3,625","3,650","3,588","3,613","98,207,398"
12/20/2018,"3,713","3,713","3,638","3,650","61,216,000"
12/19/2018,"3,675","3,738","3,675","3,713","89,550,000"
12/18/2018,"3,625","3,675","3,625","3,675","98,608,796"
12/17/2018,"3,725","3,788","3,700","3,700","78,685,000"
12/14/2018,"3,825","3,825","3,763","3,788","68,756,398"
12/13/2018,"3,750","3,850","3,725","3,850","92,920,000"
12/12/2018,"3,738","3,775","3,713","3,738","80,631,398"
12/11/2018,"3,725","3,738","3,700","3,725","55,657,398"
12/10/2018,"3,688","3,763","3,675","3,713","41,105,200"
12/07/2018,"3,788","3,813","3,738","3,750","41,692,800"
12/06/2018,"3,700","3,763","3,700","3,738","74,092,000"
12/05/2018,"3,800","3,800","3,763","3,788","73,322,398"
12/04/2018,"3,788","3,825","3,775","3,825","60,153,200"
12/03/2018,"3,775","3,863","3,775","3,800","136,684,610"
11/30/2018,"3,788","3,813","3,700","3,700","148,482,796"
11/29/2018,"3,750","3,825","3,750","3,825","141,202,594"
11/28/2018,"3,750","3,750","3,663","3,700","67,675,000"
11/27/2018,"3,688","3,750","3,675","3,725","61,028,800"
11/26/2018,"3,625","3,700","3,625","3,688","62,934,800"
11/23/2018,"3,675","3,700","3,638","3,650","82,350,000"
11/22/2018,"3,638","3,700","3,588","3,663","89,601,398"
11/21/2018,"3,613","3,663","3,525","3,638","121,808,796"
11/19/2018,"3,750","3,788","3,650","3,738","52,926,800"
11/16/2018,"3,738","3,813","3,688","3,725","113,146,000"
11/15/2018,"3,625","3,725","3,575","3,700","115,193,000"
11/14/2018,"3,638","3,650","3,563","3,563","68,203,398"
11/13/2018,"3,400","3,588","3,400","3,575","85,750,000"
11/12/2018,"3,613","3,613","3,488","3,488","65,689,796"
11/09/2018,"3,625","3,663","3,575","3,613","123,465,602"
11/08/2018,"3,700","3,763","3,688","3,750","130,444,204"
11/07/2018,"3,688","3,700","3,600","3,675","92,281,000"
11/06/2018,"3,738","3,738","3,625","3,675","124,000,796"
11/05/2018,"3,700","3,700","3,625","3,688","56,013,398"
11/02/2018,"3,663","3,750","3,550","3,713","143,785,204"
